state_name,grid_latitude,grid_longitude,latitude,longitude,valid_time,lead_day,u10,v10,wind_speed,wind_direction,temperature_C,r2,pressure_hPa,tp,month,rfs,normal,deviation,previous_error_mean,previous_bust_rate,bust_probability,stress_score,confidence
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-08-28,1,3.7199023,-0.5578369,3.7614963,278.52853,28.450012,57.3,1006.79376,0.0,8,0.0,4.18258064516129,-100.0,11.705369518022097,0.18945843144357907,0.023941988354495004,8.049321983251739,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-08-29,2,5.129917,-1.3625269,5.3077803,284.87457,29.149994,53.6,1006.6605,0.0,8,0.0,4.18258064516129,-100.0,11.705369518022097,0.18945843144357907,0.023941988354495004,8.564749982450175,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-08-30,3,6.0772834,-1.1238769,6.1803293,280.4774,29.014557,54.2,1007.0634,0.0,8,0.0,4.18258064516129,-100.0,11.705369518022097,0.18945843144357907,0.023941988354495004,8.85559978732841,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-08-31,4,5.503311,-1.2920703,5.652953,283.21265,27.948853,55.8,1007.18805,0.0,8,0.0,4.18258064516129,-100.0,11.705369518022097,0.18945843144357907,0.023941988354495004,8.679807622227836,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-09-01,5,4.377516,-1.6104907,4.6643677,290.1986,28.611877,53.7,1006.6683,0.0,9,0.0,4.978666666666667,-100.0,11.705369518022097,0.18945843144357907,0.02464472947159165,8.378388797319367,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-09-02,6,4.377969,-0.4407178,4.400096,275.74844,28.81134,53.7,1007.385,0.0,9,0.0,4.978666666666667,-100.0,11.705369518022097,0.18945843144357907,0.02464472947159165,8.290298161483243,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-09-03,7,1.9529157,-0.42259276,1.9981152,282.21002,27.91211,59.2,1007.0398,0.0625,9,0.0625,4.978666666666667,-98.74464381360471,11.705369518022097,0.18945843144357907,0.02464472947159165,7.559330147984395,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-09-04,8,3.3113868,-0.14186218,3.314424,272.4531,27.873016,63.3,1006.4317,0.75,9,0.75,4.978666666666667,-84.93572576325657,11.705369518022097,0.18945843144357907,0.028246611772785837,9.733789506454613,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-09-05,9,-0.22605957,0.10821289,0.25062513,115.580055,27.283783,67.5,1006.2921,0.25,9,0.25,4.978666666666667,-94.97857525441886,11.705369518022097,0.18945843144357907,0.02776894456002751,9.185878843600152,HIGH
Andhra Pradesh,16.0,79.75,16.0,79.75,2026-09-06,10,0.59708804,-1.7679858,1.866089,341.33905,27.169983,69.7,1006.905,0.0625,9,0.0625,4.978666666666667,-98.74464381360471,11.705369518022097,0.18945843144357907,0.02464472947159165,9.940320571246513,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-08-28,1,-0.12009766,-0.13783692,0.18281811,41.06572,22.350006,99.3,1004.47577,9.5,8,9.5,13.14774193548387,-27.74424652828892,11.76075078645173,0.21282376381090382,0.14559630185933772,26.27648078464246,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-08-29,2,0.08991699,-0.20252685,0.22159015,336.05994,22.149994,98.7,1005.96655,4.0,8,4.0,13.14774193548387,-69.57652485401638,11.76075078645173,0.21282376381090382,0.035294206282213296,19.13562173538847,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-08-30,3,0.2772833,-0.45387694,0.53187436,328.57834,22.114563,98.1,1004.97943,3.0,8,3.0,13.14774193548387,-77.18239364051229,11.76075078645173,0.21282376381090382,0.03591469849962963,18.64265295005912,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-08-31,4,-0.026688842,-0.3120703,0.31320947,4.888149,20.848846,98.5,1006.8041,2.0625,8,2.0625,13.14774193548387,-84.3128956278522,11.76075078645173,0.21282376381090382,0.032470889904866754,18.090245168520134,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-09-01,5,0.9175159,-1.2204907,1.526903,323.0656,20.111877,94.7,1010.3602,0.5625,9,0.5625,12.682333333333334,-95.56469629668568,11.76075078645173,0.21282376381090382,0.037977961315444564,17.067281641757994,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-09-02,6,0.31796876,-0.5507178,0.63592,329.99908,19.511322,81.6,1008.88104,0.0,9,0.0,12.682333333333334,-100.0,11.76075078645173,0.21282376381090382,0.028271795065726756,12.832965005146235,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-09-03,7,0.032915648,-0.55259275,0.5535722,356.59116,19.612122,86.0,1009.11975,0.0,9,0.0,12.682333333333334,-100.0,11.76075078645173,0.21282376381090382,0.028271795065726756,13.905515733132034,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-09-04,8,0.07138672,-0.36186218,0.3688364,348.8402,19.77304,92.5,1009.9957,0.0625,9,0.0625,12.682333333333334,-99.50718847740953,11.76075078645173,0.21282376381090382,0.028271795065726756,15.499390719432931,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-09-05,9,-0.08605957,-0.07178711,0.11206979,50.16662,20.583801,97.6,1010.1381,2.0,9,2.0,12.682333333333334,-84.23003127710463,11.76075078645173,0.21282376381090382,0.03511897920141444,17.906728210511535,HIGH
Arunachal Pradesh,28.25,94.75,28.25,94.75,2026-09-06,10,-0.13291198,-0.17798585,0.22213635,36.750748,20.769989,98.9,1010.02295,1.1875,9,1.1875,12.682333333333334,-90.63658107078088,11.76075078645173,0.21282376381090382,0.0359285029928928,17.904911399801424,HIGH
Assam,26.25,93.0,26.25,93.0,2026-08-28,1,-0.21009766,1.272163,1.2893951,170.62224,24.550018,99.4,1002.6677,11.25,8,11.25,10.89,3.3057851239669365,8.890315702771238,0.15848578156131135,0.21384257053590555,29.72109095314066,HIGH
Assam,26.25,93.0,26.25,93.0,2026-08-29,2,0.129917,-0.07252686,0.14879036,299.17267,24.550018,95.8,1004.0326,0.375,8,0.375,10.89,-96.55647382920111,8.890315702771238,0.15848578156131135,0.037231227637386455,15.278875075862647,HIGH
Assam,26.25,93.0,26.25,93.0,2026-08-30,3,-0.15271668,0.50612307,0.52866143,163.20943,24.514557,99.0,1002.8834,8.4375,8,8.4375,10.89,-22.520661157024797,8.890315702771238,0.15848578156131135,0.13377688558607967,24.587930024852078,HIGH
Assam,26.25,93.0,26.25,93.0,2026-08-31,4,-0.98668885,0.3479297,1.0462362,109.42384,24.348846,98.8,1002.892,9.5,8,9.5,10.89,-12.764003673094587,8.890315702771238,0.15848578156131135,0.18421318705058154,27.32364636569754,HIGH
Assam,26.25,93.0,26.25,93.0,2026-09-01,5,-0.41248414,0.14950928,0.4387439,109.923584,23.411865,95.5,1005.60626,0.0,9,0.0,8.961666666666666,-100.0,8.890315702771238,0.15848578156131135,0.021676647032716833,14.468081031298283,HIGH
Assam,26.25,93.0,26.25,93.0,2026-09-02,6,-0.50203127,0.019282227,0.5024014,92.199554,22.911346,93.2,1006.065,0.3125,9,0.3125,8.961666666666666,-96.51292542309838,8.890315702771238,0.15848578156131135,0.034614016484697994,14.640929951310468,HIGH
Assam,26.25,93.0,26.25,93.0,2026-09-03,7,-0.90708435,0.047407225,0.90832233,92.99174,22.812103,97.6,1006.5277,1.6875,9,1.6875,8.961666666666666,-81.16979728473126,8.890315702771238,0.15848578156131135,0.03514081461410041,16.817502926886302,HIGH
Assam,26.25,93.0,26.25,93.0,2026-09-04,8,-0.8086133,-0.011862183,0.8087003,89.15954,23.27304,97.2,1007.9757,4.1875,9,4.1875,8.961666666666666,-53.27320066951832,8.890315702771238,0.15848578156131135,0.10318795750667306,21.079261249619403,HIGH
Assam,26.25,93.0,26.25,93.0,2026-09-05,9,-1.0160595,0.5182129,1.1405795,117.02258,23.483795,97.3,1008.4981,5.0,9,5.0,8.961666666666666,-44.20680676957411,8.890315702771238,0.15848578156131135,0.10774956291291339,21.941104040196652,HIGH
Assam,26.25,93.0,26.25,93.0,2026-09-06,10,-0.792912,0.39201415,0.884525,116.30769,23.669983,97.6,1008.431,3.9375,9,3.9375,8.961666666666666,-56.06286033103961,8.890315702771238,0.15848578156131135,0.10085951117106967,20.9440904687529,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-08-28,1,3.5799024,-0.3278369,3.5948822,275.2324,29.950012,75.5,1000.1817,0.125,8,0.125,9.530645161290323,-98.68844136063632,6.641394846404637,0.10523455895671074,0.034058834629439566,9.804435571769512,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-08-29,2,-0.410083,1.8174732,1.8631631,167.28506,27.350006,91.8,1000.27655,17.6875,8,17.6875,9.530645161290323,85.58554746996107,6.641394846404637,0.10523455895671074,0.3787892992549191,38.2097593976422,MEDIUM
Bihar,26.0,85.25,26.0,85.25,2026-08-30,3,-1.8527167,0.24612305,1.8689932,97.56711,26.21457,91.5,1001.6914,0.0,8,0.0,9.530645161290323,-100.0,6.641394846404637,0.10523455895671074,0.02423819902776972,12.757180335823879,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-08-31,4,2.803311,0.7879297,2.9119387,254.30087,25.148865,93.4,1000.9761,0.0625,8,0.0625,9.530645161290323,-99.34422068031816,6.641394846404637,0.10523455895671074,0.02423819902776972,13.619395755071048,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-09-01,5,-2.542484,0.48950928,2.5891783,100.89791,26.011871,92.8,1002.47424,6.8125,9,6.8125,7.508666666666667,-9.271508479090826,6.641394846404637,0.10523455895671074,0.167237363599692,24.379903862207495,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-09-02,6,-2.6420312,-1.3907177,2.9857035,62.238483,25.111328,86.7,1003.781,1.125,9,1.125,7.508666666666667,-85.01731332682235,6.641394846404637,0.10523455895671074,0.031591625754948165,13.105006655912874,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-09-03,7,-3.7270844,-1.1025928,3.8867555,73.520065,26.41211,89.1,1002.8117,1.5625,9,1.5625,7.508666666666667,-79.19071295391991,6.641394846404637,0.10523455895671074,0.031679105681820634,14.351644761815423,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-09-04,8,-5.5386133,0.60813785,5.5719,96.26595,25.373016,92.6,1004.2517,0.0,9,0.0,7.508666666666667,-100.0,6.641394846404637,0.10523455895671074,0.020567491206762215,14.119652875178007,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-09-05,9,-4.9860597,0.11821289,4.9874606,91.35815,25.88379,89.6,1004.97815,0.0,9,0.0,7.508666666666667,-100.0,6.641394846404637,0.10523455895671074,0.020567491206762215,13.174839906804708,HIGH
Bihar,26.0,85.25,26.0,85.25,2026-09-06,10,-2.552912,0.22201416,2.5625474,94.97022,26.069977,89.8,1005.819,4.1875,9,4.1875,7.508666666666667,-44.23111071650537,6.641394846404637,0.10523455895671074,0.09375034948334977,18.624819798532577,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-08-28,1,3.5799024,1.0421631,3.7285125,253.76894,23.350006,93.6,1004.65375,0.0,8,0.0,11.814838709677419,-100.0,12.539272670530702,0.19597898931353017,0.024351378488760872,16.800828186188124,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-08-29,2,3.769917,0.21747315,3.7761846,266.6985,24.450012,88.9,1004.42053,0.4375,8,0.4375,11.814838709677419,-96.29702943264348,12.539272670530702,0.19597898931353017,0.035207504035601446,16.30356476453518,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-08-30,3,3.4572833,1.4761231,3.7592216,246.87946,23.814545,94.3,1004.83545,1.3125,8,1.3125,11.814838709677419,-88.89108829793044,12.539272670530702,0.19597898931353017,0.03073746825863473,17.924310958745597,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-08-31,4,3.4433112,0.4279297,3.4698005,262.9157,23.448853,92.3,1004.752,2.0625,8,2.0625,11.814838709677419,-82.54313875389067,12.539272670530702,0.19597898931353017,0.03001161141655296,17.688976188182444,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-09-01,5,2.957516,1.2895093,3.226412,246.44228,22.711884,90.1,1004.6602,0.0,9,0.0,7.513,-100.0,12.539272670530702,0.19597898931353017,0.02156901348346597,15.647166068028179,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-09-02,6,2.8579688,0.21928222,2.8663688,265.6125,22.511322,96.2,1005.769,1.75,9,1.75,7.513,-76.70704112871024,12.539272670530702,0.19597898931353017,0.029945160657172103,18.75765030741623,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-09-03,7,5.062916,1.2074072,5.2048965,256.5866,22.112122,97.1,1003.65173,5.9375,9,5.9375,7.513,-20.97031811526687,12.539272670530702,0.19597898931353017,0.19596861177501895,29.682396680525503,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-09-04,8,6.071387,1.1181378,6.173489,259.56506,22.373016,98.3,1002.47174,77.5,9,77.5,7.513,931.5453214428323,12.539272670530702,0.19597898931353017,0.9878415651519858,77.3304290126107,LOW
Chhattisgarh,21.25,82.0,21.25,82.0,2026-09-05,9,1.1139405,3.878213,4.0350213,196.02568,22.38379,95.3,1003.9881,0.9375,9,0.9375,7.513,-87.52162917609478,12.539272670530702,0.19597898931353017,0.029425572836374415,18.265137248652874,HIGH
Chhattisgarh,21.25,82.0,21.25,82.0,2026-09-06,10,0.057088014,2.862014,2.8625834,181.14272,21.869965,95.9,1006.781,0.0,9,0.0,7.513,-100.0,12.539272670530702,0.19597898931353017,0.02156901348346597,16.975891249548162,HIGH
Goa,15.25,74.0,15.25,74.0,2026-08-28,1,2.0699024,0.012163086,2.0699382,269.66333,24.25,88.4,1010.71576,2.5625,8,2.5625,18.496774193548386,-86.14623299616323,8.598139396486143,0.149067197971382,0.06461708376449679,15.638031555751153,HIGH
Goa,15.25,74.0,15.25,74.0,2026-08-29,2,2.439917,0.07747314,2.4411469,268.18134,24.350006,85.4,1011.0086,2.5,8,2.5,18.496774193548386,-86.48412975235438,8.598139396486143,0.149067197971382,0.062495871643284684,14.905548945218406,HIGH
Goa,15.25,74.0,15.25,74.0,2026-08-30,3,2.1972833,-0.14387695,2.2019887,273.74634,24.014557,88.2,1011.10345,2.3125,8,2.3125,18.496774193548386,-87.49782002092779,8.598139396486143,0.149067197971382,0.058681056828469864,15.309122271156145,HIGH
Goa,15.25,74.0,15.25,74.0,2026-08-31,4,2.2133112,0.1679297,2.2196727,265.66113,24.048859,87.8,1011.2961,1.625,8,1.625,18.496774193548386,-91.21468433903036,8.598139396486143,0.149067197971382,0.058477353124766165,14.971788360224913,HIGH
Goa,15.25,74.0,15.25,74.0,2026-09-01,5,2.1575158,0.31950927,2.1810458,261.57623,23.611877,90.8,1010.2123,2.875,9,2.875,9.5,-69.73684210526315,8.598139396486143,0.149067197971382,0.11210176671757784,19.12363949552155,HIGH
Goa,15.25,74.0,15.25,74.0,2026-09-02,6,2.1679688,0.37928224,2.200896,260.07663,23.611328,89.6,1010.95294,3.0625,9,3.0625,9.5,-67.76315789473685,8.598139396486143,0.149067197971382,0.19632546157413025,22.318249485111387,HIGH
Goa,15.25,74.0,15.25,74.0,2026-09-03,7,1.7329156,0.64740723,1.8499007,249.51462,24.212128,88.6,1010.16376,2.3125,9,2.3125,9.5,-75.6578947368421,8.598139396486143,0.149067197971382,0.039769221303742594,15.21281121363308,HIGH
Goa,15.25,74.0,15.25,74.0,2026-09-04,8,2.3213868,0.79813784,2.454763,251.02603,24.27304,88.0,1009.4877,2.375,9,2.375,9.5,-75.0,8.598139396486143,0.149067197971382,0.04462831990395794,15.498478905291634,HIGH
Goa,15.25,74.0,15.25,74.0,2026-09-05,9,1.3439404,-0.2117871,1.3605255,278.9554,24.683807,87.1,1008.8321,1.5,9,1.5,9.5,-84.21052631578947,8.598139396486143,0.149067197971382,0.03903635465586114,14.129498828973958,HIGH
Goa,15.25,74.0,15.25,74.0,2026-09-06,10,-0.58291197,0.9720142,1.133401,149.04909,23.869965,89.1,1009.235,0.125,9,0.125,9.5,-98.68421052631578,8.598139396486143,0.149067197971382,0.03508509043119687,13.52272376672129,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-08-28,1,4.8599024,2.942163,5.681107,238.80948,25.25,75.7,1006.0377,0.0,8,0.0,6.548064516129032,-100.0,11.712856954174969,0.13747509509146894,0.02048685557298271,11.958675215608569,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-08-29,2,6.149917,3.407473,7.0308146,241.01057,25.25,75.1,1006.00256,0.0,8,0.0,6.548064516129032,-100.0,11.712856954174969,0.13747509509146894,0.02048685557298271,12.258578220970126,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-08-30,3,6.3272834,3.466123,7.214466,241.28581,25.614563,70.2,1005.9874,0.0,8,0.0,6.548064516129032,-100.0,11.712856954174969,0.13747509509146894,0.02048685557298271,11.094794924027415,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-08-31,4,5.6333113,4.25793,7.061456,232.91626,25.148865,73.4,1005.9601,0.0,8,0.0,6.548064516129032,-100.0,11.712856954174969,0.13747509509146894,0.02048685557298271,11.843792664474936,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-09-01,5,5.717516,4.529509,7.2942743,231.61317,25.411865,76.3,1004.7202,0.0625,9,0.0625,3.644666666666667,-98.28516553868667,11.712856954174969,0.13747509509146894,0.017974780555471057,12.635624634379006,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-09-02,6,4.717969,4.179282,6.3028274,228.46477,25.111328,80.6,1005.32104,0.125,9,0.125,3.644666666666667,-96.57033107737333,11.712856954174969,0.13747509509146894,0.022502963277106124,13.650977530902452,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-09-03,7,4.292916,2.9574072,5.2130013,235.43689,25.312103,78.9,1005.4158,0.1875,9,0.1875,3.644666666666667,-94.85549661606,11.712856954174969,0.13747509509146894,0.022767859869097764,12.96300686851879,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-09-04,8,2.7013867,1.6481378,3.1644666,238.6123,24.373016,84.3,1005.6717,0.0,9,0.0,3.644666666666667,-100.0,11.712856954174969,0.13747509509146894,0.017974780555471057,13.169313443990449,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-09-05,9,5.1439404,0.30821288,5.153166,266.57108,24.783783,82.3,1005.5261,0.0,9,0.0,3.644666666666667,-100.0,11.712856954174969,0.13747509509146894,0.017974780555471057,13.332213403822879,HIGH
Gujarat,22.25,71.25,22.25,71.25,2026-09-06,10,4.987088,-0.37798584,5.001392,274.33432,24.769989,82.7,1005.78705,0.875,9,0.875,3.644666666666667,-75.99231754161332,11.712856954174969,0.13747509509146894,0.02445580665511203,14.896782438526593,HIGH
Haryana,29.0,76.0,29.0,76.0,2026-08-28,1,6.829902,1.1821631,6.9314556,260.18018,32.55002,42.3,999.92377,0.0,8,0.0,5.290967741935484,-100.0,0.7401575564209383,0.0018112660749864155,0.003079987851805419,2.701136671195066,HIGH
Haryana,29.0,76.0,29.0,76.0,2026-08-29,2,6.329917,0.77747315,6.377485,262.9977,31.649994,45.7,999.70056,0.0,8,0.0,5.290967741935484,-100.0,0.7401575564209383,0.0018112660749864155,0.003079987851805419,2.5164798053002717,HIGH
